term,category,disposition,note
af,function_word,always,Hebrew particle or pronoun; does not appear untranslated in English speech
ani,function_word,always,Hebrew particle or pronoun; does not appear untranslated in English speech
at,function_word,always,Hebrew particle or pronoun; does not appear untranslated in English speech
atem,function_word,always,Hebrew particle or pronoun; does not appear untranslated in English speech
bo,function_word,always,Hebrew particle or pronoun; does not appear untranslated in English speech
eifo,function_word,always,Hebrew particle or pronoun; does not appear untranslated in English speech
ein,function_word,always,Hebrew particle or pronoun; does not appear untranslated in English speech
hi,function_word,always,Hebrew particle or pronoun; does not appear untranslated in English speech
kan,function_word,always,Hebrew particle or pronoun; does not appear untranslated in English speech
ken,function_word,always,Hebrew particle or pronoun; does not appear untranslated in English speech
le'an,function_word,always,Hebrew particle or pronoun; does not appear untranslated in English speech
lo,function_word,always,Hebrew particle or pronoun; does not appear untranslated in English speech
ma,function_word,always,Hebrew particle or pronoun; does not appear untranslated in English speech
me'ayin,function_word,always,Hebrew particle or pronoun; does not appear untranslated in English speech
mi,function_word,always,Hebrew particle or pronoun; does not appear untranslated in English speech
od,function_word,always,Hebrew particle or pronoun; does not appear untranslated in English speech
or,function_word,always,Hebrew particle or pronoun; does not appear untranslated in English speech
po,function_word,always,Hebrew particle or pronoun; does not appear untranslated in English speech
sa,function_word,always,Hebrew particle or pronoun; does not appear untranslated in English speech
sham,function_word,always,Hebrew particle or pronoun; does not appear untranslated in English speech
aliyah,israel_english,conservative,routine in English writing about Israel; not in an English dictionary
haredi,israel_english,conservative,routine in English writing about Israel; not in an English dictionary
moshav,israel_english,conservative,routine in English writing about Israel; not in an English dictionary
shul,israel_english,conservative,routine in English writing about Israel; not in an English dictionary
ashdod,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
ashkelon,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
ayalon,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
ben yehuda,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
dizengoff,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
eilat,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
galil,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
galilee,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
golan,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
hahagana,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
haifa,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
herzl,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
herzliya,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
hof habonim,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
jerusalem,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
kanyon azrieli,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
kfar saba,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
kikar rabin,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
kikar tzion,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
machane yehuda,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
negev,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
nes tziona,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
netanya,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
ofakim,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
palmachim,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
raanana,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
ramat gan,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
rishon lezion,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
rosh pina,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
rothschild,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
super yuda,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
tel aviv,place_name,conservative,"toponym; excluded by default, reinstatable for an expansive build"
