term,category,status,quarantine_reason,hebrew_script,source,variants
tofes 1334,bureaucracy,active,,,generated:deepseek-flash,tofes 1344
tofes 1335,bureaucracy,active,,,generated:deepseek-flash,tofes 1355
tofes 1336,bureaucracy,active,,,generated:deepseek-flash,tofes 1366
tofes 1337,bureaucracy,active,,,generated:deepseek-flash,
tofes 1338,bureaucracy,active,,,generated:deepseek-flash,
tofes 1339,bureaucracy,active,,,generated:deepseek-flash,
tofes 1340,bureaucracy,active,,,generated:deepseek-flash,
tofes 1341,bureaucracy,active,,,generated:deepseek-flash,
tofes 1342,bureaucracy,active,,,generated:deepseek-flash,
tofes 1343,bureaucracy,active,,,generated:deepseek-flash,
tofes 1345,bureaucracy,active,,,generated:deepseek-flash,
tofes 1346,bureaucracy,active,,,generated:deepseek-flash,
tofes 1347,bureaucracy,active,,,generated:deepseek-flash,
tofes 1348,bureaucracy,active,,,generated:deepseek-flash,
tofes 1349,bureaucracy,active,,,generated:deepseek-flash,
tofes 1350,bureaucracy,active,,,generated:deepseek-flash,
tofes 1351,bureaucracy,active,,,generated:deepseek-flash,
tofes 1352,bureaucracy,active,,,generated:deepseek-flash,
tofes 1353,bureaucracy,active,,,generated:deepseek-flash,
tofes 1354,bureaucracy,active,,,generated:deepseek-flash,
tofes 1356,bureaucracy,active,,,generated:deepseek-flash,
tofes 1357,bureaucracy,active,,,generated:deepseek-flash,
tofes 1358,bureaucracy,active,,,generated:deepseek-flash,
tofes 1359,bureaucracy,active,,,generated:deepseek-flash,
tofes 1360,bureaucracy,active,,,generated:deepseek-flash,
tofes 1361,bureaucracy,active,,,generated:deepseek-flash,
tofes 1362,bureaucracy,active,,,generated:deepseek-flash,
tofes 1363,bureaucracy,active,,,generated:deepseek-flash,
tofes 1364,bureaucracy,active,,,generated:deepseek-flash,
tofes 1365,bureaucracy,active,,,generated:deepseek-flash,
tofes 1367,bureaucracy,active,,,generated:deepseek-flash,
tofes 1368,bureaucracy,active,,,generated:deepseek-flash,
tofes 1369,bureaucracy,active,,,generated:deepseek-flash,
tofes 1370,bureaucracy,active,,,generated:deepseek-flash,
vaad bayit,bureaucracy,active,,,generated:deepseek-flash,va'ad bayit
zikui,bureaucracy,active,,,generated:deepseek-flash,zikuih
dmei gan,childcare,active,,,round2:deepseek-flash,
gan chova,childcare,active,,,round2:deepseek-flash,gan chovah|gan khova|gan hova
hatzaga,childcare,active,,,round2:deepseek-flash,hatzagah|hatsaga|hazaga
hoda'a,childcare,active,,,round2:deepseek-flash,hodaa|hodaah
kadur,childcare,active,,,round2:deepseek-flash,
kaduregel,childcare,active,,,round2:deepseek-flash,
kadursal,childcare,active,,,round2:deepseek-flash,
luach zmanim,childcare,active,,,round2:deepseek-flash,luakh zmanim|luah zmanim
maon yom,childcare,active,,,round2:deepseek-flash,
matana,childcare,active,,,round2:deepseek-flash,matanah
mesiba,childcare,active,,,round2:deepseek-flash,mesibah
mishpachton,childcare,active,,,english-hebrew-mixed-sentences,mishpakhton|mishpahton
moadon,childcare,active,,,round2:deepseek-flash,mo'adon
peilut,childcare,active,,,round2:deepseek-flash,
pinkas,childcare,active,,,round2:deepseek-flash,
sadna,childcare,active,,,round2:deepseek-flash,sadnah
tachposet,childcare,active,,,round2:deepseek-flash,takhposet|tahposet
tza'atzua,childcare,active,,,round2:deepseek-flash,tzaatzua|tzaatzuah|tsaatsua|zaazua
tza'atzuim,childcare,active,,,round2:deepseek-flash,tzaatzuim|tsaatsuim|zaazuim
achi,colloquial,active,,,generated:deepseek-flash,achih|akhi|ahi
achla,colloquial,active,,,generated:deepseek-flash,achlah|akhla|ahla
achoti,colloquial,active,,,generated:deepseek-flash,achotih|akhoti|ahoti
achshav,colloquial,active,,,generated:deepseek-flash,akhshav|ahshav
af ehad,colloquial,active,,,generated:deepseek-flash,
af paam,colloquial,active,,,generated:deepseek-flash,
ahalan,colloquial,active,,,generated:deepseek-flash,
ahoi,colloquial,active,,,generated:deepseek-flash,ahoih
al hapanim,colloquial,active,,,generated:deepseek-flash,
aleichem shalom,colloquial,active,,,generated:deepseek-flash,aleikhem shalom|aleihem shalom
aruchat boker,colloquial,active,,,generated:deepseek-flash,arukhat boker|aruhat boker
aruchat erev,colloquial,active,,,generated:deepseek-flash,arukhat erev|aruhat erev
aruchat tzohorayim,colloquial,active,,,generated:deepseek-flash,arukhat tzohorayim|aruhat tzohorayim|aruchat tsohorayim|aruchat zohorayim
b'kitzur,colloquial,active,,,round2:deepseek-flash,bkitzur|bkitsur|bkizur
baal,colloquial,ambiguous,english_homograph,,generated:deepseek-flash,
baali,colloquial,active,,,generated:deepseek-flash,baalih
bachur,colloquial,active,,,generated:deepseek-flash,bakhur|bahur
bachura,colloquial,active,,,generated:deepseek-flash,bachurah|bakhura|bahura
baruch hashem,colloquial,active,,,generated:deepseek-flash,barukh hashem|baruh hashem
basari,colloquial,active,,,generated:deepseek-flash,basarih
baz,colloquial,active,,,generated:deepseek-flash,
be'emet,colloquial,active,,,generated:deepseek-flash,beemet
be'erech,colloquial,active,,,generated:deepseek-flash,beerech|beerec|beerekh|beereh
be'etzem,colloquial,active,,,generated:deepseek-flash,beetzem|beetsem|beezem
be'ikar,colloquial,active,,,generated:deepseek-flash,beikar
bediuk,colloquial,active,,,generated:deepseek-flash,
bekarov,colloquial,active,,,generated:deepseek-flash,
bekeitzur,colloquial,active,,,generated:deepseek-flash,bekeitsur|bekeizur
bichlal,colloquial,active,,,round2:deepseek-flash,bikhlal|bihlal
bo'i,colloquial,active,,,generated:deepseek-flash,boi|boih
bo'u,colloquial,active,,,generated:deepseek-flash,bou|bouh
boker,colloquial,active,,,generated:deepseek-flash,
boker or,colloquial,active,,,generated:deepseek-flash,
boker tov,colloquial,active,,,generated:deepseek-flash,
chalavi,colloquial,active,,,generated:deepseek-flash,chalavih|khalavi|halavi
cham,colloquial,active,,,generated:deepseek-flash,kham|ham
chamud,colloquial,active,,,generated:deepseek-flash,khamud|hamud
chamuda,colloquial,active,,,generated:deepseek-flash,chamudah|khamuda|hamuda
chamutz,colloquial,active,,,generated:deepseek-flash,khamutz|hamutz|chamuts|chamuz
chatan,colloquial,active,,,generated:deepseek-flash,khatan|hatan
chaval,colloquial,active,,,generated:deepseek-flash,khaval|haval
chaval al hazman,colloquial,active,,,generated:deepseek-flash,khaval al hazman|haval al hazman
chaver,colloquial,active,,,generated:deepseek-flash,khaver|haver
chavera,colloquial,active,,,generated:deepseek-flash,chaverah|khavera|havera
chaverim,colloquial,active,,,generated:deepseek-flash,khaverim|haverim
chazak,colloquial,active,,,generated:deepseek-flash,khazak|hazak
chevra,colloquial,active,,,round2:deepseek-flash,chevrah|khevra|hevra
chevre,colloquial,active,,,generated:deepseek-flash,chevreh|khevre|hevre
chodesh,colloquial,active,,,generated:deepseek-flash,chodes|khodesh|hodesh
chodesh tov,colloquial,active,,,generated:deepseek-flash,khodesh tov|hodesh tov
dai,colloquial,active,,,generated:deepseek-flash,daih
daka,colloquial,active,,,generated:deepseek-flash,dakah
dod,colloquial,active,,,generated:deepseek-flash,
doda,colloquial,active,,,generated:deepseek-flash,dodah
efshar,colloquial,active,,,round2:deepseek-flash,
eize,colloquial,active,,,generated:deepseek-flash,eizeh
eize kef,colloquial,active,,,generated:deepseek-flash,
eizo,colloquial,active,,,generated:deepseek-flash,eizoh
emet,colloquial,active,,,generated:deepseek-flash,
erev,colloquial,active,,,generated:deepseek-flash,
erev tov,colloquial,active,,,generated:deepseek-flash,
etmol,colloquial,active,,,generated:deepseek-flash,
gever,colloquial,active,,,generated:deepseek-flash,
gveret,colloquial,active,,,generated:deepseek-flash,
hakol tov,colloquial,active,,,generated:deepseek-flash,
hayom,colloquial,active,,,generated:deepseek-flash,
ima,colloquial,active,,,generated:deepseek-flash,imah
isha,colloquial,active,,,generated:deepseek-flash,ishah
ishti,colloquial,active,,,generated:deepseek-flash,ishtih
kafe,colloquial,active,,,generated:deepseek-flash,kafeh
kafe hafuch,colloquial,active,,,generated:deepseek-flash,kafe hafuc|kafe hafukh|kafe hafuh
kala,colloquial,active,,,generated:deepseek-flash,kallah|kalah
kapara,colloquial,active,,,generated:deepseek-flash,kaparah
kar,colloquial,active,,,generated:deepseek-flash,
kaze,colloquial,active,,,generated:deepseek-flash,kazeh
kazot,colloquial,active,,,generated:deepseek-flash,
ke'ilu,colloquial,active,,,generated:deepseek-flash,keilu|keiluh
kef,colloquial,active,,,generated:deepseek-flash,
kol hakavod,colloquial,active,,,generated:deepseek-flash,
kol paam,colloquial,active,,,generated:deepseek-flash,
ktzat,colloquial,active,,,round2:deepseek-flash,ktsat|kzat
kvar,colloquial,active,,,generated:deepseek-flash,
layla,colloquial,ambiguous,english_homograph,,generated:deepseek-flash,laylah
layla tov,colloquial,active,,,generated:deepseek-flash,
lech,colloquial,active,,,generated:deepseek-flash,lec|lekh|leh
lechayim,colloquial,active,,,generated:deepseek-flash,lekhayim|lehayim
lechem,colloquial,active,,,generated:deepseek-flash,lekhem|lehem
lechi,colloquial,active,,,generated:deepseek-flash,lechih|lekhi|lehi
lechu,colloquial,active,,,generated:deepseek-flash,lechuh|lekhu|lehu
ma hadash,colloquial,active,,,generated:deepseek-flash,ma hadas
ma inyanim,colloquial,active,,,generated:deepseek-flash,
ma kore,colloquial,active,,,generated:deepseek-flash,ma koreh
ma nishma,colloquial,active,,,generated:deepseek-flash,ma nishmah
ma pitom,colloquial,active,,,generated:deepseek-flash,
ma shlomcha,colloquial,active,,,generated:deepseek-flash,ma shlomchah|ma shlomkha|ma shlomha
ma shlomech,colloquial,active,,,generated:deepseek-flash,ma shlomec|ma shlomekh|ma shlomeh
ma ze,colloquial,active,,,generated:deepseek-flash,ma zeh
machar,colloquial,active,,,generated:deepseek-flash,makhar|mahar
magniv,colloquial,active,,,generated:deepseek-flash,
mamash,colloquial,active,,,round2:deepseek-flash,mamas
mar,colloquial,ambiguous,english_homograph,,generated:deepseek-flash,
maspik,colloquial,active,,,generated:deepseek-flash,
matok,colloquial,active,,,generated:deepseek-flash,
mayim,colloquial,active,,,generated:deepseek-flash,
mazal tov,colloquial,active,,,generated:deepseek-flash,
mechutan,colloquial,active,,,generated:deepseek-flash,mekhutan|mehutan
mechutanim,colloquial,active,,,generated:deepseek-flash,mekhutanim|mehutanim
mehadrin,colloquial,active,,,generated:deepseek-flash,
metzuyan,colloquial,active,,,generated:deepseek-flash,metsuyan|mezuyan
mitz,colloquial,active,,,generated:deepseek-flash,mits|miz
motek,colloquial,active,,,generated:deepseek-flash,
naxon,colloquial,active,,,generated:deepseek-flash,
neshama,colloquial,active,,,generated:deepseek-flash,neshamah
od paam,colloquial,active,,,generated:deepseek-flash,
paam,colloquial,active,,,generated:deepseek-flash,
paam achat,colloquial,active,,,generated:deepseek-flash,paam akhat|paam ahat
parve,colloquial,active,,,generated:deepseek-flash,parveh
pitom,colloquial,active,,,generated:deepseek-flash,
pitzutz,colloquial,active,,,round2:deepseek-flash,pitsuts|pizuz
rega,colloquial,active,,,generated:deepseek-flash,regah
sababa,colloquial,active,,,generated:deepseek-flash,sababah
sha'a,colloquial,active,,,generated:deepseek-flash,shaa|sha-a|shaah
shalom aleichem,colloquial,active,,,generated:deepseek-flash,shalom aleikhem|shalom aleihem
shana,colloquial,ambiguous,english_homograph,,generated:deepseek-flash,shanah
shilshom,colloquial,active,,,generated:deepseek-flash,
shniya,colloquial,active,,,generated:deepseek-flash,shniyah
shoko,colloquial,active,,,generated:deepseek-flash,shokoh
sof haderech,colloquial,active,,,round2:deepseek-flash,sof haderec|sof haderekh|sof hadereh
stam,colloquial,active,,,generated:deepseek-flash,
ta'im,colloquial,active,,,generated:deepseek-flash,taim
taam,colloquial,active,,,generated:deepseek-flash,
tachles,colloquial,active,,,round2:deepseek-flash,takhles|tahles
tafsik,colloquial,active,,,generated:deepseek-flash,
tafsiki,colloquial,active,,,generated:deepseek-flash,tafsikih
tinok,colloquial,active,,,generated:deepseek-flash,
tinoket,colloquial,active,,,generated:deepseek-flash,
tov,colloquial,active,,,generated:deepseek-flash,
tzohorayim,colloquial,active,,,generated:deepseek-flash,tsohorayim|zohorayim
tzom kal,colloquial,active,,,generated:deepseek-flash,tsom kal|zom kal
yadid,colloquial,active,,,generated:deepseek-flash,
yadid nefesh,colloquial,active,,,generated:deepseek-flash,yadid nefes
yafeh,colloquial,active,,,generated:deepseek-flash,yafe
yaffa,colloquial,active,,,generated:deepseek-flash,yaffah
yalda,colloquial,active,,,generated:deepseek-flash,yaldah
yalla,colloquial,active,,,generated:deepseek-flash,yallah
yasher koach,colloquial,active,,,generated:deepseek-flash,yasher koac|yasher koakh|yasher koah
yeladim,colloquial,active,,,generated:deepseek-flash,
yeled,colloquial,active,,,generated:deepseek-flash,
yishar koach,colloquial,active,,,generated:deepseek-flash,yishar koac|yishar koakh|yishar koah
yofi,colloquial,active,,,generated:deepseek-flash,yofih
yom,colloquial,active,,,generated:deepseek-flash,
zman,colloquial,active,,,generated:deepseek-flash,
yom aliyah,commemoration,active,,,english-hebrew-mixed-sentences,yom aliya
yom haatzmaut,commemoration,active,,,english-hebrew-mixed-sentences,yom ha'atzmaut|yom haatsmaut|yom haazmaut
yom hashoah,commemoration,active,,,english-hebrew-mixed-sentences,yom hashoa
yom hazikaron,commemoration,active,,,english-hebrew-mixed-sentences,
yom yerushalayim,commemoration,active,,,english-hebrew-mixed-sentences,
hazmana,documents,active,,,round2:deepseek-flash,hazmanah
iriya,documents,active,,,round2:deepseek-flash,iriyah
ishur avoda,documents,active,,,round2:deepseek-flash,ishur avodah
ishur knisa,documents,active,,,round2:deepseek-flash,ishur knisah
ishur yetzia,documents,active,,,round2:deepseek-flash,ishur yetziah|ishur yetsia|ishur yezia
mo'atza,documents,active,,,round2:deepseek-flash,moatza|moatzah|moatsa|moaza
rishayon,documents,active,,,round2:deepseek-flash,
rishayon bniya,documents,active,,,round2:deepseek-flash,rishayon bniyah
rishayon esek,documents,active,,,round2:deepseek-flash,
rishayon neshek,documents,active,,,round2:deepseek-flash,
rishayon rechev,documents,active,,,round2:deepseek-flash,rishayon rekhev|rishayon rehev
sal briut,documents,active,,,round2:deepseek-flash,
teudat ezrach,documents,active,,,round2:deepseek-flash,teudat ezrac|teudat ezrakh|teudat ezrah
teudat gerushin,documents,active,,,round2:deepseek-flash,
teudat lida,documents,active,,,round2:deepseek-flash,teudat lidah
teudat limudim,documents,active,,,round2:deepseek-flash,
teudat maavar,documents,active,,,english-hebrew-mixed-sentences,teudat ma'avar
teudat nisuin,documents,active,,,round2:deepseek-flash,
teudat petira,documents,active,,,round2:deepseek-flash,teudat petirah
teudat toshav,documents,active,,,round2:deepseek-flash,
teudat zehut,documents,active,,,english-hebrew-mixed-sentences,
bagrut,education,active,,,round2:deepseek-flash,
beit sefer,education,active,,,round2:deepseek-flash,
chug,education,active,,,round2:deepseek-flash,khug|hug
chugim,education,active,,,round2:deepseek-flash,khugim|hugim
gan,education,active,,,english-hebrew-mixed-sentences,
gan yeladim,education,active,,,round2:deepseek-flash,
ganenet,education,active,,,round2:deepseek-flash,
hakhanah,education,active,,,round2:deepseek-flash,hakhana|hachanah|hahanah
kitot,education,active,,,round2:deepseek-flash,
limudim,education,active,,,round2:deepseek-flash,
madrich,education,active,,,round2:deepseek-flash,madric|madrikh|madrih
madricha,education,active,,,round2:deepseek-flash,madrichah|madrikha|madriha
maon,education,active,,,round2:deepseek-flash,ma'on
maslul,education,active,,,round2:deepseek-flash,
matkonet,education,active,,,round2:deepseek-flash,
mechina,education,active,,,round2:deepseek-flash,mechinah|mekhina|mehina
megama,education,active,,,round2:deepseek-flash,megamah
mehanekh,education,active,,,round2:deepseek-flash,mehanek|mehanech|mehaneh
mehanekhet,education,active,,,round2:deepseek-flash,mehanechet|mehanehet
meitzav,education,active,,,round2:deepseek-flash,meitsav|meizav
menahel,education,active,,,round2:deepseek-flash,
menahelet,education,active,,,round2:deepseek-flash,
moed,education,active,,,round2:deepseek-flash,
moed bet,education,active,,,round2:deepseek-flash,
morah,education,active,,,round2:deepseek-flash,mora
moreh,education,active,,,round2:deepseek-flash,more
shiur,education,active,,,round2:deepseek-flash,
shiurim,education,active,,,round2:deepseek-flash,
targilim,education,active,,,round2:deepseek-flash,
teudat bagrut,education,active,,,round2:deepseek-flash,
tichon,education,active,,,round2:deepseek-flash,tikhon|tihon
tzaharon,education,active,,,round2:deepseek-flash,tsaharon|zaharon
tziyun,education,active,,,round2:deepseek-flash,tsiyun|ziyun
ulpan,education,active,,,english-hebrew-mixed-sentences,
adom,emergency,active,,,round2:deepseek-flash,
azaka,emergency,active,,,round2:deepseek-flash,azakah
bitachon,emergency,active,,,round2:deepseek-flash,bitakhon|bitahon
cheder madregot,emergency,active,,,round2:deepseek-flash,kheder madregot|heder madregot
cherum,emergency,active,,,round2:deepseek-flash,kherum|herum
chilutz,emergency,active,,,round2:deepseek-flash,khilutz|hilutz|chiluts|chiluz
chovesh,emergency,active,,,round2:deepseek-flash,choves|khovesh|hovesh
hatarah,emergency,active,,,round2:deepseek-flash,hatara
hatarah mukdemet,emergency,active,,,round2:deepseek-flash,
hatzala,emergency,active,,,round2:deepseek-flash,hatzalah|hatsala|hazala
ichud hatzalah,emergency,active,,,round2:deepseek-flash,ichud hatzala|ikhud hatzalah|ihud hatzalah|ichud hatsalah
kupat holim,emergency,active,,,round2:deepseek-flash,kupat cholim
mada,emergency,active,,,round2:deepseek-flash,madah
madregot,emergency,active,,,round2:deepseek-flash,
magen david adom,emergency,active,,,round2:deepseek-flash,
mamak,emergency,active,,,round2:deepseek-flash,
matzav cherum,emergency,active,,,round2:deepseek-flash,matzav kherum|matzav herum|matsav cherum|mazav cherum
merhav mugan,emergency,active,,,round2:deepseek-flash,
miklat tachton,emergency,active,,,round2:deepseek-flash,miklat takhton|miklat tahton
miklat tziburi,emergency,active,,,round2:deepseek-flash,miklat tziburih|miklat tsiburi|miklat ziburi
pigu'a,emergency,active,,,round2:deepseek-flash,pigua|piguah
pikud,emergency,active,,,round2:deepseek-flash,
pikud haoref,emergency,active,,,round2:deepseek-flash,pikud ha'oref
terem,emergency,active,,,english-hebrew-mixed-sentences,
tzeva,emergency,active,,,round2:deepseek-flash,tzevah|tseva|zeva
tzeva adom,emergency,active,,,round2:deepseek-flash,tseva adom|zeva adom
tzfira,emergency,active,,,round2:deepseek-flash,tzfirah|tsfira|zfira
yedidim,emergency,active,,,round2:deepseek-flash,
yeri,emergency,active,,,round2:deepseek-flash,yerih
aba,family,active,,,english-hebrew-mixed-sentences,abah
bat dod,family,active,,,round2:deepseek-flash,
ben dod,family,active,,,round2:deepseek-flash,
brit mila,family,active,,,round2:deepseek-flash,brit milah
chatuna,family,active,,,round2:deepseek-flash,chatunah|khatuna|hatuna
dodim,family,active,,,round2:deepseek-flash,
hesped,family,active,,,round2:deepseek-flash,
horim,family,active,,,round2:deepseek-flash,
mishpacha,family,active,,,round2:deepseek-flash,mishpachah|mishpakha|mishpaha
niftar,family,active,,,round2:deepseek-flash,
nisuin,family,active,,,round2:deepseek-flash,
saba,family,active,,,english-hebrew-mixed-sentences,sabah
savta,family,active,,,english-hebrew-mixed-sentences,savtah
shadchan,family,active,,,round2:deepseek-flash,shadkhan|shadhan
shalom bayit,family,active,,,round2:deepseek-flash,
shidduch,family,active,,,round2:deepseek-flash,shidduc|shiddukh|shidduh
yom huledet,family,active,,,round2:deepseek-flash,
amlaot,finance,active,,,round2:deepseek-flash,
arnona,finance,active,,,english-hebrew-mixed-sentences,arnonah
bituach briut,finance,active,,,round2:deepseek-flash,bituakh briut|bituah briut
bituach chaim,finance,active,,,round2:deepseek-flash,bituakh khaim|bituah haim
bituach chova,finance,active,,,round2:deepseek-flash,bituach chovah|bituakh khova|bituah hova
bituach leumi,finance,active,,,english-hebrew-mixed-sentences,bituach leumih|bituakh leumi|bituah leumi
bituach menhalim,finance,active,,,english-hebrew-mixed-sentences,bituakh menhalim|bituah menhalim
bituach nachasim,finance,active,,,round2:deepseek-flash,bituakh nakhasim|bituah nahasim
bituach tzad gimel,finance,active,,,round2:deepseek-flash,bituakh tzad gimel|bituah tzad gimel|bituach tsad gimel|bituach zad gimel
dmei avtala,finance,active,,,round2:deepseek-flash,dmei avtalah
dmei havraa,finance,active,,,round2:deepseek-flash,dmei havraah
dmei leida,finance,active,,,round2:deepseek-flash,dmei leidah
dmei machala,finance,active,,,round2:deepseek-flash,dmei machalah|dmei makhala|dmei mahala
dmei nihul,finance,active,,,round2:deepseek-flash,
dmei peilut,finance,active,,,round2:deepseek-flash,
hanacha,finance,active,,,round2:deepseek-flash,hanachah|hanakha|hanaha
heshbon chisachon,finance,active,,,round2:deepseek-flash,heshbon khisakhon|heshbon hisahon
heshbon ishi,finance,active,,,round2:deepseek-flash,heshbon ishih
heshbon iska,finance,active,,,english-hebrew-mixed-sentences,heshbon iskah
heshbon osek,finance,active,,,round2:deepseek-flash,
heshbonit mas,finance,active,,,english-hebrew-mixed-sentences,
heshbonit mas kabala,finance,active,,,english-hebrew-mixed-sentences,heshbonit mas kabalah
kabala,finance,active,,,english-hebrew-mixed-sentences,kabalah
keren hishtalmut,finance,active,,,english-hebrew-mixed-sentences,
